Property_type;Property_city;Property_location;Bedrooms;Bathrooms;Parking_space;Floor_size;Estate Agent;Property_price
2 Bedroom Apartment;Centurion;Raslouw;2;2;2;72 m²;Plus Group Properties;8500
2 Bedroom Apartment;Centurion;Midstream Estate;2;2;1;181 m²;Pam Golding Properties - Centurion Rentals;33500
1 Bedroom Apartment;Centurion;Highveld;1;1;2;61 m²;Excellence Marketing;6500
2 Bedroom Apartment;Centurion;Amberfield;2;1;1;84 m²;Jawitz Centurion;10500
2 Bedroom Apartment;Centurion;Eldoraigne;2;1;1;60 m²;RCM Letting;8500
Apartment;Centurion;Doornkloof;2;2;4;197 m²;Plus Group Properties;5750
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;1;50 m²;Just Property, Midstream Estate;8450
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;1;1;78 m²;Plus Group Properties;25000
Apartment;Centurion;The Reeds;2;1;2;60 m²;Plus Group Properties;5000
2 Bedroom Apartment;Centurion;Celtisdal;2;2;2;60 m²;Chas Everitt Centurion;8500
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;2;92 m²;Plus Group Properties;8250
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;1;60 m²;;8250
2 Bedroom Apartment;Centurion;Golden Fields Estate;;2;;;;13500
2 Bedroom Apartment;Centurion;Kosmosdal;;;;;;8450
2 Bedroom Apartment;Centurion;Erasmia;2;1;1;72 m²;Real Estate Services;6800
2 Bedroom Apartment;Centurion;Clubview;2;2;2;66 m²;Mandated;8600
2 Bedroom Apartment;Centurion;Zwartkop Golf Estate;2;1;1;80 m²;Bluecrystal Properties;10500
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;2;64 m²;CSi Property Group;7800
1 Bedroom Apartment;Centurion;Doringkloof;1;1;1;73 m²;Pam Golding Properties - Centurion Rentals;9000
2 Bedroom Apartment;Centurion;Heuweloord;2;1;1;65 m²;Plus Group Properties;7600
1 Bedroom Apartment;Centurion;Die Hoewes;1;1;1;40 m²;Dic Homes;7200
2 Bedroom Apartment;Centurion;Raslouw;2;2;1;72 m²;Pam Golding Properties - Centurion Rentals;8500
1 Bedroom Apartment;Centurion;Rooihuiskraal;1;1;1;45 m²;New Dawn Property Group;6000
1 Bedroom Apartment;Centurion;Die Hoewes;1;1;2;40 m²;CSi Property Group;7200
2 Bedroom Apartment;Centurion;Monavoni;2;1;1;75 m²;National Letting;7700
2 Bedroom Apartment;Centurion;Heuweloord;2;1;1;65 m²;CSi Property Group;8300
Apartment;Centurion;Amberfield;2;1;1;65 m²;Plus Group Properties;10000
2 Bedroom Apartment;Centurion;Heuweloord;2;2;1;60 m²;Mandated;7600
2 Bedroom Apartment;Centurion;Kosmosdal;2;1;2;58 m²;CSi Property Group;8900
2 Bedroom Apartment;Centurion;Zwartkop;2;1;2;60 m²;Chas Everitt Centurion;7200
2 Bedroom Apartment;Centurion;Amberfield;2;2;2;103 m²;Karen Jonker Properties;9500
2 Bedroom Apartment;Centurion;Rooihuiskraal North;3;2;4;107 m²;Chas Everitt Centurion;10000
3 Bedroom Apartment;Centurion;Golden Fields Estate;3;2;;90 m²;RealNet Midstream Estates (Pty) Ltd;15000
3 Bedroom Apartment;Centurion;Golden Fields Estate;3;3;;211 m²;;15000
3 Bedroom Apartment;Centurion;Midstream Estate;;;;;;35000
3 Bedroom Apartment;Centurion;Die Hoewes;3;2;2;120 m²;Jawitz Centurion;14500
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;1;62 m²;Rawson Properties Waterkloof Rentals;8500
2 Bedroom Apartment;Centurion;Rooihuiskraal;2;1;1;65 m²;Plus Group Properties;7500
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;2;60 m²;Plus Group Properties;8250
2 Bedroom Apartment;Centurion;Clubview;2;2;1;85 m²;Mandated;8800
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;1;60 m²;Plus Group Properties;8900
Apartment;Centurion;Kosmosdal;2;1;2;50 m²;Real Estate Services;8500
2 Bedroom Apartment;Centurion;Laudium;2;1;1;116 m²;BC Rentals & Sales;5500
2 Bedroom Apartment;Centurion;Celtisdal;2;2;1;128 m²;RE/MAX Infoglobe - Centurion;9000
2 Bedroom Apartment;Centurion;Midlands Estate;2;2;2;72 m²;Plus Group Properties;22500
2 Bedroom Apartment;Centurion;Raslouw;2;1;2;75 m²;EXP South Africa;8500
2 Bedroom Apartment;Centurion;Monavoni;3;3;2;195 m²;Leapfrog Group;9000
3 Bedroom Apartment;Centurion;Ascend to Midstream;2;1;2;129 m²;Be Prop;28000
2 Bedroom Apartment;Centurion;Erasmia;2;2;2;84 m²;RealNet Midstream Estates (Pty) Ltd;6800
2 Bedroom Apartment;Centurion;Midstream Estate;3;2;2;195 m²;Midteam Management Services;21000
3 Bedroom Apartment;Centurion;Clubview;3;3;3;179 m²;RE/MAX Infoglobe - Centurion;14550
3 Bedroom Apartment;Centurion;Ascend to Midstream;3;3;2;114 m²;RealNet Midstream Estates (Pty) Ltd;28000
3 Bedroom Apartment;Centurion;Midstream Estate;2;2;2;60 m²;National Letting;45000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;1;1;;Plus Group Properties;23000
2 Bedroom Apartment;Centurion;Highveld;2;2;;;;11000
2 Bedroom Apartment;Centurion;Kosmosdal;;;;;;8900
2 Bedroom Apartment;Centurion;Louwlardia;2;2;1;50 m²;M & T Homes;11500
2 Bedroom Apartment;Centurion;Clubview;2;1;2;149 m²;Pam Golding Properties - Centurion;9150
2 Bedroom Apartment;Centurion;Midstream Estate;2;2;2;113 m²;Jawitz Centurion;25000
2 Bedroom Apartment;Centurion;Die Hoewes;2;2;2;78 m²;Real Estate Services;9570
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;1;60 m²;ASAP Property Agents;8500
2 Bedroom Apartment;Centurion;The Reeds;2;1;2;113 m²;Plus Group Properties;10500
1 Bedroom Apartment;Centurion;Zwartkop;1;1;1;48 m²;MERCY PROPERTIES;6800
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;1;128 m²;Matthysen Property Group;8450
2 Bedroom Apartment;Centurion;Eco Park Estate;2;1;1;60 m²;Jawitz Centurion;8000
2 Bedroom Apartment;Centurion;Zwartkop;2;1;2;60 m²;IHS Property Management;7900
2 Bedroom Apartment;Centurion;Die Hoewes;2;2;2;58 m²;RealNet Midstream Estates (Pty) Ltd;9570
1 Bedroom Apartment;Centurion;Clubview;1;1;1;211 m²;Matthysen Property Group;7800
2 Bedroom Apartment;Centurion;Midstream Estate;2;2;3;;Plus Group Properties;22000
1 Bedroom Apartment;Centurion;Lyttelton Manor;1;1;1;;Matthysen Property Group;6800
2 Bedroom Apartment;Centurion;Centurion Central;2;1;2;;Rapid Rentals;8200
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;2;;Chas Everitt Centurion;8200
1 Bedroom Apartment;Centurion;Lyttelton Manor;1;1;1;;RealNet Midstream Estates (Pty) Ltd;6000
3 Bedroom Apartment;Centurion;Die Hoewes;3;1;1;;;11700
1 Bedroom Apartment;Centurion;Retire at Midstream;1;1;1;;;11000
1.5 Bedroom Apartment;Centurion;Pierre Van Ryneveld;1.5;1;3;;;8200
3 Bedroom Apartment;Centurion;Ascend to Midstream;3;3;4;;;45000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;152 m²;RealNet Midstream Estates (Pty) Ltd;30000
2 Bedroom Apartment;Centurion;Heuweloord;2;1;4;151 m²;CSi Property Group;7600
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;99 m²;RealNet Midstream Estates (Pty) Ltd;26000
3 Bedroom Apartment;Centurion;Raslouw;3;2;1;214 m²;RE/MAX Capital;10500
2 Bedroom Apartment;Centurion;Celtisdal;2;1;2;131 m²;Midteam Management Services;8900
3 Bedroom Apartment;Centurion;Ascend to Midstream;3;3;1;140 m²;Uniprop Real Estate Centurion;45000
2 Bedroom Apartment;Centurion;Rooihuiskraal North;2;2;2;135 m²;1st Choice Family Homes Newlands;9000
3 Bedroom Apartment;Centurion;Raslouw;3;2;1;60 m²;Chas Everitt Centurion;11500
3 Bedroom Apartment;Centurion;Raslouw AH;3;2;2;98 m²;Pro Properties;11500
1 Bedroom Apartment;Centurion;Centurion Central;1;1;2;65 m²;Plus Group Properties;5850
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;60 m²;Keller Williams Action;26900
3 Bedroom Apartment;Centurion;Clubview;3;2;2;168 m²;CSi Property Group;12500
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;2;44 m²;Chas Everitt Centurion;8250
2 Bedroom Apartment;Centurion;Celtisdal;2;1;2;121 m²;Plus Group Properties;8500
3 Bedroom Apartment;Centurion;Celtisdal;3;2;1;;Jawitz Centurion;11500
1 Bedroom Apartment;Centurion;Eldoraigne;1;1;1;;;7900
2 Bedroom Apartment;Centurion;Amberfield;2;2;2;;;10300
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;1;;;25700
2 Bedroom Apartment;Centurion;Kosmosdal;2;1;3;;;6800
3 Bedroom Apartment;Centurion;Die Hoewes;3;2;2;;;12500
3 Bedroom Apartment;Centurion;Raslouw;3;2;;;;11500
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;151 m²;Midteam Management Services;26000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;235 m²;RealNet Midstream Estates (Pty) Ltd;37000
2 Bedroom Apartment;Centurion;Raslouw;2;2;1;72 m²;Plus Group Properties;8500
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;2;78 m²;Hannaford Homes;7750
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;2;194 m²;Midteam Management Services;8450
