Property_type;Property_city;Property_location;Bedrooms;Bathrooms;Parking_space;Floor_size;Estate Agent;Property_price
1 Bedroom Apartment;Johannesburg;Parktown North;2;1;3;150 m²;EXP South Africa;9000
2 Bedroom Apartment;Johannesburg;Braamfontein Werf;2;2;2;35 m²;RE/MAX Superior - Mulbarton;4500
2 Bedroom Apartment;Johannesburg;Parktown North;0.5;2;2;100 m²;Renprop Residential;12400
0.5 Bedroom Apartment;Johannesburg;Berea;3;1;2;67 m²;Renprop Residential;2000
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;2;54 m²;Our Home;26000
3 Bedroom Apartment;Johannesburg;Winchester Hills;2;2;1;100 m²;Landsdowne Investment Properties;9995
2 Bedroom Apartment;Johannesburg;Dunkeld;0.5;2;1;50 m²;AFHCO Holdings (Pty) Ltd Johannesburg;15000
0.5 Bedroom Apartment;Johannesburg;Rosebank;1;1;2;43 m²;AFHCO Holdings (Pty) Ltd Johannesburg;9500
1 Bedroom Apartment;Johannesburg;Linmeyer;2;1;1;43 m²;;3700
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;1;;;18000
2 Bedroom Apartment;Johannesburg;Kibler Park;2;1;1;;;6400
2 Bedroom Apartment;Johannesburg;Sandringham;1;1;1;;;12000
1 Bedroom Apartment;Johannesburg;Parkhurst;2;1;1;;;9500
2 Bedroom Apartment;Johannesburg;Braamfontein;2;2;;;;10950
2 Bedroom Apartment;Johannesburg;South Hills;2;1;;;;6400
2 Bedroom Apartment;Johannesburg;South Hills;;1;;;;6300
2 Bedroom Apartment;Johannesburg;South Hills;2;1;1;43 m²;AFHCO Holdings (Pty) Ltd Johannesburg;6650
1 Bedroom Apartment;Johannesburg;Maboneng;1;1;1;102 m²;Libertalia Properties;6000
0.5 Bedroom Apartment;Johannesburg;Melville;0.5;1;3;33 m²;Century 21 Bryanston;7500
1 Bedroom Apartment;Johannesburg;Turffontein;1;1;1;36 m²;Mafadi Property Management Office;3500
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;2;83 m²;Kent Gush Properties;15000
2 Bedroom Apartment;Johannesburg;Rosebank;2;1;1;59 m²;Renprop Residential;18500
1 Bedroom Apartment;Johannesburg;Maboneng;1;1;2;110 m²;RE/MAX Advantage;4500
2 Bedroom Apartment;Johannesburg;Craighall Park;2;1.5;1;51 m²;PropertyCloud;12000
1 Bedroom Apartment;Johannesburg;Bassonia;1;1;2;30 m²;Trafalgar Property Management - Birdhaven;7300
1 Bedroom Apartment;Johannesburg;Hillbrow;1;1;2;115 m²;RE/MAX Advantage;3500
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1;2;178 m²;LIONLEAD Real Estate Sandton;7400
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;2;279 m²;Pam Golding Properties - Hyde Park Rentals;20000
3 Bedroom Apartment;Johannesburg;Houghton Estate;3;1;2;68 m²;RE/MAX Finest - Alberton;26000
3 Bedroom Apartment;Johannesburg;Killarney;3;3;2;121 m²;Silver Property Group;28500
1 Bedroom Apartment;Johannesburg;Robertsham;1;1;1;145 m²;Property.CoZa - Paramount;5000
3 Bedroom Apartment;Johannesburg;Sandringham;3;3;2;83 m²;Renprop Residential;27000
Apartment;Johannesburg;Parktown;2;4;1;50 m²;IHS Property Management;5499
2 Bedroom Apartment;Johannesburg;Rosebank;2;1;2;76 m²;Byron Thomas Properties;18500
2 Bedroom Apartment;Johannesburg;Bruma;2;1;;60 m²;;7500
2 Bedroom Apartment;Johannesburg;Rosebank;1;2;;;;14500
1 Bedroom Apartment;Johannesburg;Sandringham;;1;;;;12000
0.5 Bedroom Apartment;Johannesburg;Maboneng;0.5;1;2;33 m²;Jawitz Johannesburg North;4000
1 Bedroom Apartment;Johannesburg;Parktown;1;1;2;145 m²;Property.CoZa - Paramount;6000
3 Bedroom Apartment;Johannesburg;Winchester Hills;3;2.5;2;83 m²;Silver Property Group;9500
2 Bedroom Apartment;Johannesburg;Melrose Arch;2;2;1;85 m²;Seeff Sandton;45000
2 Bedroom Apartment;Johannesburg;Houghton Estate;2;2;1;56 m²;CSi Property Group;19000
2 Bedroom Apartment;Johannesburg;Kibler Park;2;1;1;40 m²;Choprop (Pty) Ltd Rentals;7200
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;2;138 m²;Pam Golding Properties - Hyde Park Rentals;9000
3 Bedroom Apartment;Johannesburg;Lenasia;3;2;2;131 m²;Trafalgar Property Management - Birdhaven;7500
2 Bedroom Apartment;Johannesburg;Oaklands;2;2;1;130 m²;AFHCO Holdings (Pty) Ltd Johannesburg;12750
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;1;83 m²;Thabco Properties;26000
2 Bedroom Apartment;Johannesburg;Winchester Hills;2;1;1;17 m²;CSi Property Group;8700
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;0.5;1;1;30 m²;RE/MAX Advantage;3200
Apartment;Johannesburg;Johannesburg Central;2;1;1;79 m²;Evolate Real Estate;4900
2 Bedroom Apartment;Johannesburg;Waverley;3;1;1;83 m²;Preferental Platform;15000
3 Bedroom Apartment;Johannesburg;Paarlshoop;2;1.5;2;56 m²;;6000
2 Bedroom Apartment;Johannesburg;Kibler Park;1;1;2;42 m²;;7200
1 Bedroom Apartment;Johannesburg;Milpark;3;1;;175 m²;;6200
3 Bedroom Apartment;Johannesburg;Oaklands;1;2.5;;42 m²;;25000
1 Bedroom Apartment;Johannesburg;Houghton Estate;2;1;;170 m²;;6800
2 Bedroom Apartment;Johannesburg;Craighall;1;2;;50 m²;;27999
1 Bedroom Apartment;Johannesburg;Parkhurst;;1;;;;5500
2 Bedroom Apartment;Johannesburg;Craighall Park;2;1;1;79 m²;RE/MAX One - Kramerville;12000
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;1;50 m²;RE/MAX Masters - Bryanston;13000
2 Bedroom Apartment;Johannesburg;Houghton Estate;2;2;2;114 m²;RE/MAX Masters - Bryanston;12000
2 Bedroom Apartment;Johannesburg;Albertville;2;2;2;68 m²;Rawson Properties Northcliff;6500
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;1;30 m²;IHS Property Management;6000
2 Bedroom Apartment;Johannesburg;Kenilworth;2;1;3;93 m²;PropertyCloud;4900
2 Bedroom Apartment;Johannesburg;Braamfontein;2;1;1;55 m²;RE/MAX One - Kramerville;2980
3 Bedroom Apartment;Johannesburg;Elandspark;3;2;2;75 m²;Weinprop;8000
2 Bedroom Apartment;Johannesburg;Craighall Park;2;2;1;94 m²;RE/MAX Finest - Alberton;15800
2 Bedroom Apartment;Johannesburg;Orange Grove;2;1;1;62 m²;AFHCO Holdings (Pty) Ltd Johannesburg;7300
2 Bedroom Apartment;Johannesburg;Kibler Park;2;1;1;22 m²;Propcore Real Estate;7200
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;0.5;1;1;34 m²;Just Property Heritage;3950
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;1;30 m²;You Realty;12000
1 Bedroom Apartment;Johannesburg;Auckland Park;1;1;2;130 m²;Tyson Properties Gauteng;5500
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;2;125 m²;Just Property Heritage;24499
2 Bedroom Apartment;Johannesburg;Orchards;2;2;1;30 m²;You Realty;18000
1 Bedroom Apartment;Johannesburg;Auckland Park;1;1;1;76 m²;RE/MAX Advantage;5500
2 Bedroom Apartment;Johannesburg;Lyndhurst;2;2;2;115 m²;;8999
Apartment;Johannesburg;Yeoville;2;0.5;1;50 m²;;1250
2 Bedroom Apartment;Johannesburg;Houghton Estate;1;2;;;;12000
1 Bedroom Apartment;Johannesburg;Orange Grove;;1;;;;4300
2 Bedroom Apartment;Johannesburg;Paarlshoop;2;1;1;46 m²;Majangaza Properties;5800
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;1;6 m²;AFHCO Holdings (Pty) Ltd Johannesburg;5200
1 Bedroom Apartment;Johannesburg;Westdene;1;1;2;58 m²;You Realty;6000
1 Bedroom Apartment;Johannesburg;Waverley;1;1;1;65 m²;AFHCO Holdings (Pty) Ltd Johannesburg;8500
2 Bedroom Apartment;Johannesburg;Gresswold;2;1;1;39 m²;IHS Property Management;7150
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;1;45 m²;Renprop Residential;4700
2 Bedroom Apartment;Johannesburg;Bruma;2;1;1;80 m²;Real Estate Services;7500
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;2;80 m²;Tyson Properties Gauteng;18000
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;2;68 m²;Corbett Investment Properties;18000
2 Bedroom Apartment;Johannesburg;Winchester Hills;2;1;1;110 m²;Just Property Heritage;6999
2 Bedroom Apartment;Johannesburg;Parkview;2;2;2;36 m²;RE/MAX Advantage;18500
2 Bedroom Apartment;Johannesburg;Marshalltown;2;1;2;120 m²;IHS Property Management;4950
2 Bedroom Apartment;Johannesburg;Melrose Arch;2;2;1;60 m²;RE/MAX Advantage;35500
1 Bedroom Apartment;Johannesburg;Waverley;1;1;2;85 m²;Real Estate Services;7500
1 Bedroom Apartment;Johannesburg;Melville;1;1;1;45 m²;;6500
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1;1;58 m²;;8500
2 Bedroom Apartment;Johannesburg;Bruma;2;1;3;65 m²;;7500
1 Bedroom Apartment;Johannesburg;Melville;1;1;2;70 m²;;8500
2 Bedroom Apartment;Johannesburg;Fordsburg;2;1;2;92 m²;;6500
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1;;;;17000
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;;;;20000
4 Bedroom Apartment;Johannesburg;Parkview;4;3.5;2;223 m²;Sherida Properties;50000
1 Bedroom Apartment;Johannesburg;Oakdene;1;1;2;55 m²;Plum Realty;6950
1 Bedroom Apartment;Johannesburg;Aspen Hills;1;1.5;2;62 m²;RE/MAX Advantage;8600
2 Bedroom Apartment;Johannesburg;Kensington;2;1;1;68 m²;RE/MAX Superior - Mulbarton;6000
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;1;116 m²;Plum Realty;9250
4 Bedroom Apartment;Johannesburg;Parktown;4;1;1;103 m²;City Property;3600
2 Bedroom Apartment;Johannesburg;Westdene;2;1;1;43 m²;City Property;5000
2 Bedroom Apartment;Johannesburg;Rosebank;2;1.5;2;38 m²;City Property;14000
3 Bedroom Apartment;Johannesburg;Oakdene;3;2;1;73 m²;IHS Property Management;12000
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;1;152 m²;IHS Property Management;9250
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;0.5;1;1;;Weinprop;3750
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;0.5;1;1;;City Property;3700
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;2;;City Property;4550
1 Bedroom Apartment;Johannesburg;Oakdene;1;1;1;;Allegiance Properties;7350
1 Bedroom Apartment;Johannesburg;Bruma;1;1;;;;6000
2 Bedroom Apartment;Johannesburg;Houghton Estate;2;1;;;;7300
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;;;;6200
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;0.5;1;;;;3300
1 Bedroom Apartment;Johannesburg;Linksfield;1;1;;;;16000
3 Bedroom Apartment;Johannesburg;Parkview;3;3;;;;25000
2 Bedroom Apartment;Johannesburg;Suideroord;2;1;;;;5800
3 Bedroom Apartment;Johannesburg;Linksfield;3;2;2;131 m²;Allegiance Properties;22500
2 Bedroom Apartment;Johannesburg;Saxonwold;2;1;1;36 m²;Aurum Realty;10500
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;0.5;1;1;33 m²;City Property;3850
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;1;83 m²;City Property;4350
3 Bedroom Apartment;Johannesburg;Bramley;3;2.5;1;145 m²;Millennial Realty Gauteng;11499
1 Bedroom Apartment;Johannesburg;Cheltondale;1;1;1;38 m²;Simpson Properties;8250
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;1;76 m²;City Property;5950
0.5 Bedroom Apartment;Johannesburg;Marshalltown;0.5;1;2;27 m²;You Realty;4550
1 Bedroom Apartment;Johannesburg;Oaklands;1;2;2;59 m²;Libertalia Properties;13000
1 Bedroom Apartment;Johannesburg;Maboneng;1;1;1;33 m²;City Property;4950
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;1;;Harcourts Lifestyle;3950
1 Bedroom Apartment;Johannesburg;Kenilworth;1;1;1;;Pam Golding Properties - Hyde Park Rentals;3550
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;1;;Rawson Properties Glenvista;18500
2 Bedroom Apartment;Johannesburg;Houghton Estate;2;2;;;AFHCO Holdings (Pty) Ltd Johannesburg;32000
2 Bedroom Apartment;Johannesburg;Booysens;2;1;;;Jawitz Johannesburg North;5200
2 Bedroom Apartment;Johannesburg;Bassonia;2;1;;;You Realty;8999
1 Bedroom Apartment;Johannesburg;New Doornfontein;1;1;;;Kent Gush Properties;3850
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;;;;2332
1 Bedroom Apartment;Johannesburg;Maboneng;1;1;;;;7500
1 Bedroom Apartment;Johannesburg;Oaklands;1;2;;;;13000
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;;;;12000
1 Bedroom Apartment;Johannesburg;Hillbrow;1;1;1;80 m²;Afro Prop Investment (Pty) Ltd;3750
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;1;48 m²;NRG - Sandton;5800
1 Bedroom Apartment;Johannesburg;Mulbarton;1;1;2;39 m²;Preferental Platform;7100
2 Bedroom Apartment;Johannesburg;Melrose North;2;2;8;76 m²;CSi Property Group;28000
7 Bedroom Apartment;Johannesburg;Bramley;7;2;1;208 m²;Renprop Residential;5000
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1.5;1;92 m²;Allegiance Properties;8500
1 Bedroom Apartment;Johannesburg;Rosebank;1;2;1;45 m²;AFHCO Holdings (Pty) Ltd Johannesburg;12000
0.5 Bedroom Apartment;Johannesburg;Rosebank;0.5;1;2;30 m²;Fine Home Elegance;10000
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;1;60 m²;Seeff Sandton;14999
2 Bedroom Apartment;Johannesburg;Rosebank;2;1;1;65 m²;Firzt Realty Company;17000
1 Bedroom Apartment;Johannesburg;Linksfield;1;1;2;72 m²;International Property Associates;12000
1 Bedroom Apartment;Johannesburg;Marshalltown;1;1;2;33 m²;Preferental Platform;4100
2 Bedroom Apartment;Johannesburg;Mulbarton;2;2;2;78 m²;Knightsbridge Properties;12000
3 Bedroom Apartment;Johannesburg;Houghton Estate;3;2;2;146 m²;Vered Estates;27000
2 Bedroom Apartment;Johannesburg;Forest Hill;2;1.5;1;92 m²;Majangaza Properties;5000
2 Bedroom Apartment;Johannesburg;Houghton Estate;2;2.5;2;83 m²;;32000
2 Bedroom Apartment;Johannesburg;Robertsham;2;1;2;52 m²;;7500
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1.5;1;;;8500
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;;;;20000
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1;;;;18000
1 Bedroom Apartment;Johannesburg;Paarlshoop;1;1;;;;4800
1 Bedroom Apartment;Johannesburg;Rouxville;1;1;1;61 m²;Jawitz Bedfordview;6300
1 Bedroom Apartment;Johannesburg;Westdene;1;1;2;128 m²;O-YES Properties;4700
3 Bedroom Apartment;Johannesburg;Mondeor;3;1.5;1;65 m²;Law Real Estate;11500
1 Bedroom Apartment;Johannesburg;West Turffontein;1;1;1;48 m²;You Realty;3000
2 Bedroom Apartment;Johannesburg;Glenanda;2;1;1;191 m²;Silver Property Group;6500
1 Bedroom Apartment;Johannesburg;Parkhurst;1;1;2;50 m²;RE/MAX Advantage;9500
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;1;83 m²;Meridian Realty;25000
1 Bedroom Apartment;Johannesburg;Parkhurst;1;1;2;98 m²;Pam Golding Properties - Hyde Park Rentals;9500
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;1;52 m²;Aurum Realty;18500
1 Bedroom Apartment;Johannesburg;Killarney;1;1.5;1;80 m²;RE/MAX One - Edenvale;9000
1 Bedroom Apartment;Johannesburg;Saxonwold;1;1;2;107 m²;Immaculate Properties;8000
3 Bedroom Apartment;Johannesburg;Oaklands;3;2;1;;Seeff Sandton;26000
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1;2;;Century 21 Sandton;18000
3 Bedroom Apartment;Johannesburg;Berea;3;2;1;;;5300
1 Bedroom Apartment;Johannesburg;Auckland Park;1;1;1;;;5000
3 Bedroom Apartment;Johannesburg;Berea;3;2;2;;;5300
3 Bedroom Apartment;Johannesburg;Berea;3;2;;;;5300
0.5 Bedroom Apartment;Johannesburg;Bezuidenhout Valley;0.5;1;;;;2300
1 Bedroom Apartment;Johannesburg;Bassonia;1;1;;;;4600
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1;;;;15000
2 Bedroom Apartment;Johannesburg;Rosebank;2;2.5;;;;23000
1 Bedroom Apartment;Johannesburg;Glenvista;1;1;1;72 m²;Preferental Platform;5500
1 Bedroom Apartment;Johannesburg;Houghton Estate;1;1;1;69 m²;Royal Abbai Properties;8500
1 Bedroom Apartment;Johannesburg;New Doornfontein;1;1;2;115 m²;Trafalgar Property Management - Birdhaven;7000
2 Bedroom Apartment;Johannesburg;Bellevue;2;1;2;80 m²;Framework Property Services;5120
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;1;42 m²;RE/MAX Advantage;28000
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;1;69 m²;AFHCO Holdings (Pty) Ltd Johannesburg;17999
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;1;118 m²;Seeff Sandton;6100
2 Bedroom Apartment;Johannesburg;Rembrandt Park;2;1;2;83 m²;Zareena Kara Properties;8999
2 Bedroom Apartment;Johannesburg;Killarney;2;2;2;56 m²;Silver Property Group;13000
3 Bedroom Apartment;Johannesburg;Parkview;3;2;1;1 278 m²;CSi Property Group;17000
2 Bedroom Apartment;Johannesburg;Melrose Arch;2;2;2;110 m²;Flint Realty;32000
2 Bedroom Apartment;Johannesburg;Kibler Park;2;1;2;80 m²;Rawson Properties Northcliff;7100
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;2;;Zareena Kara Properties;16500
3 Bedroom Apartment;Johannesburg;Killarney;3;2.5;2;;Flint Realty;25000
1 Bedroom Apartment;Johannesburg;Auckland Park;1;1;2;;RE/MAX Superior - Mulbarton;6000
3 Bedroom Apartment;Johannesburg;Saxonwold;3;2;2;;Century 21 Sandton;21500
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;1;;You Realty;16500
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;2;;;ZA Prop Rentals;7000
2 Bedroom Apartment;Johannesburg;Rosebank;2;2.5;;;;18000
2 Bedroom Apartment;Johannesburg;Melrose Arch;2;2;;;;35500
1 Bedroom Apartment;Johannesburg;Winchester Hills;1;1;;;;4800
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;1;36 m²;AFHCO Holdings (Pty) Ltd Johannesburg;4200
2 Bedroom Apartment;Johannesburg;Gleneagles;2;2;1;47 m²;You Realty;9900
2 Bedroom Apartment;Johannesburg;Gleneagles;2;2;1;96 m²;You Realty;9900
1 Bedroom Apartment;Johannesburg;Craighall;1;1;1;75 m²;RE/MAX Advantage;8600
1 Bedroom Apartment;Johannesburg;Ormonde;1;1;1;74 m²;City Property;5800
1 Bedroom Apartment;Johannesburg;Lyndhurst;1;1;1;69 m²;Harcourts Lifestyle;5999
1 Bedroom Apartment;Johannesburg;Maboneng;1;1;1;85 m²;IHS Property Management;6000
2 Bedroom Apartment;Johannesburg;Berea;2;2;1;247 m²;Preferental Platform;5150
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;2;75 m²;RE/MAX  Finally Home;4700
1 Bedroom Apartment;Johannesburg;Rosebank;1;1;1;;IHS Property Management;17000
1 Bedroom Apartment;Johannesburg;Braamfontein;1;1;1;;Pam Golding Properties - Hyde Park Rentals;3500
1 Bedroom Apartment;Johannesburg;Franklin Roosevelt Park;1;1;1;;Real Estate Services;4800
1 Bedroom Apartment;Johannesburg;Bruma;1;1;1;;Rawson Properties Linden;5200
1 Bedroom Apartment;Johannesburg;Berea;1;1;1;;;5500
2 Bedroom Apartment;Johannesburg;Winchester Hills;2;2;1;;;9300
1 Bedroom Apartment;Johannesburg;Bruma;1;1;1;;;6000
1 Bedroom Apartment;Johannesburg;Bramley;1;1;;;;5990
1 Bedroom Apartment;Johannesburg;Dunkeld West;1;1;;;;16000
1 Bedroom Apartment;Johannesburg;Highlands North;1;1;;;;14000
1 Bedroom Apartment;Johannesburg;Montgomery Park;1;1;;;;6500
2 Bedroom Apartment;Johannesburg;Berea;2;1;;;;6520
1 Bedroom Apartment;Johannesburg;Parktown North;1;1;1;80 m²;Allegiance Properties;9000
2 Bedroom Apartment;Johannesburg;Mondeor;2;1;1;82 m²;Legacy H Realty;6500
Apartment;Johannesburg;Bassonia;2;1;1;79 m²;Hannaford Homes;10000
2 Bedroom Apartment;Johannesburg;Roseacre;1;1;1;67 m²;IHS Property Management;6800
1 Bedroom Apartment;Johannesburg;Rosebank;2;1;2;51 m²;CSi Property Group;9000
2 Bedroom Apartment;Johannesburg;Rembrandt Park;1;2;1;34 m²;LIONLEAD Real Estate Sandton;6850
1 Bedroom Apartment;Johannesburg;Braamfontein;2;1;1;83 m²;Afro Prop Investment (Pty) Ltd;7500
2 Bedroom Apartment;Johannesburg;Bruma;2;1;1;55 m²;Real Estate Services;6450
2 Bedroom Apartment;Johannesburg;Kibler Park;2;1;1;16 m²;Harcourts Lifestyle;7200
2 Bedroom Apartment;Johannesburg;Marshalltown;2;2;2;110 m²;Trafalgar Property Management - Birdhaven;3390
2 Bedroom Apartment;Johannesburg;Rosebank;1;1;2;83 m²;Harcourts Lifestyle;18500
1 Bedroom Apartment;Johannesburg;Hillbrow;1;1;2;150 m²;Allegiance Properties;3600
Apartment;Johannesburg;Emmarentia;1;1;1;46 m²;Maslow Realty;7000
1 Bedroom Apartment;Johannesburg;Killarney;1;1;;82 m²;;8500
1 Bedroom Apartment;Johannesburg;Kensington;2;1;;;;6790
1 Bedroom Apartment;Johannesburg;Craighall Park;2;2;;;;6500
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;;;;20000
2 Bedroom Apartment;Johannesburg;Killarney;2;1;;;;19000
2 Bedroom Apartment;Johannesburg;Rosebank;1;1;;;;10500
2 Bedroom Apartment;Johannesburg;Mondeor;;1;;;;6500
1 Bedroom Apartment;Johannesburg;Glenhazel;;;;;;5000
2 Bedroom Apartment;Johannesburg;Marshalltown;2;1;1;37 m²;IHS Property Management;4710
2 Bedroom Apartment;Johannesburg;Towerby;2;1;1;58 m²;Propcore Real Estate;6800
1 Bedroom Apartment;Johannesburg;Auckland Park;1;1;1;30 m²;Propcore Real Estate;4500
32.5 Bedroom Apartment;Johannesburg;Oaklands;32.5;2.5;2;64 m²;Property.CoZa - Unlimited;26000
1 Bedroom Apartment;Johannesburg;Johannesburg Central;1;1;1;70 m²;Property.CoZa - Premier;8000
2 Bedroom Apartment;Johannesburg;Malvern;2;1;1;180 m²;Leapfrog JHB North East;8000
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;2;80 m²;Engel & Volkers MLC;26000
2 Bedroom Apartment;Johannesburg;Melrose Arch;2;2;2;60 m²;Fine & Country - The Parks;35500
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;2;28 m²;Live Real Estate - Sandton;23000
1 Bedroom Apartment;Johannesburg;Kensington;1;1;1;36 m²;You Realty;9500
Apartment;Johannesburg;Marshalltown;2;2;2;90 m²;Africrest Properties;2550
2 Bedroom Apartment;Johannesburg;Berea;3;2.5;1;;Leapfrog JHB North East;4100
3 Bedroom Apartment;Johannesburg;Oaklands;2;1;2;;Propertyze Group;25000
2 Bedroom Apartment;Johannesburg;Kew;1;1;1;;Africrest Properties;6590
Apartment;Johannesburg;City & Suburban;1.5;1;1;;City Property;5500
1 Bedroom Apartment;Johannesburg;Parkhurst;1;1;;;;9500
1.5 Bedroom Apartment;Johannesburg;Highlands North;1;1;;;;8000
1 Bedroom Apartment;Johannesburg;Kew;2;1;;;;4699
1 Bedroom Apartment;Johannesburg;Marshalltown;0.5;;;;;3980
2 Bedroom Apartment;Johannesburg;Kew;;;;;;6590
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;;;;;;3800
1 Bedroom Apartment;Johannesburg;Observatory;1;1;1;60 m²;Polaris Real Estate;6500
1 Bedroom Apartment;Johannesburg;Auckland Park;1;1;1;83 m²;Silver Property Group;4000
2 Bedroom Apartment;Johannesburg;Melrose Arch;2;2;2;180 m²;Patcha Properties;34000
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;2;245 m²;Rawson Properties Sandton - Morningside;26000
3 Bedroom Apartment;Johannesburg;Killarney;3;2.5;1;88 m²;City Property;22000
0.5 Bedroom Apartment;Johannesburg;Johannesburg Central;0.5;1;2;41 m²;City Property;4300
2 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;2;176 m²;Seeff Sandton;5000
2 Bedroom Apartment;Johannesburg;Houghton Estate;2;2;1;71 m²;Tyson Properties Gauteng;15000
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;1;62 m²;RE/MAX Superior - Mulbarton;25000
2 Bedroom Apartment;Johannesburg;Mulbarton;2;2;1;176 m²;Afro Prop Investment (Pty) Ltd;10950
2 Bedroom Apartment;Johannesburg;Ridgeway;2;1;2;;RE/MAX Superior - Mulbarton;7500
0.5 Bedroom Apartment;Johannesburg;Hillbrow;0.5;1;1;;RE/MAX Advantage;2750
0.5 Bedroom Apartment;Johannesburg;Melville;0.5;2;1;;IHS Property Management;4500
2 Bedroom Apartment;Johannesburg;Melrose North;2;2;2;;Silver Property Group;
2 Bedroom Apartment;Johannesburg;Lyndhurst;2;1;1;;Status Realtors;7450
1 Bedroom Apartment;Johannesburg;Marshalltown;1;1;1;;;3910
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;2;;;26000
1 Bedroom Apartment;Johannesburg;Greenside;1;1;1;;;8700
1 Bedroom Apartment;Johannesburg;Melrose Arch;1;1;;;;30000
3 Bedroom Apartment;Johannesburg;Oaklands;3;2.5;;;;26000
1 Bedroom Apartment;Johannesburg;Oakdene;1;1;;;;8500
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;2;74 m²;Meridian Realty;18000
2 Bedroom Apartment;Johannesburg;Rosebank;2;2;2;107 m²;Renprop Residential;25500
Apartment;Johannesburg;Milpark;1;1;2;43 m²;Mafadi Property Management Office;6200
1 Bedroom Apartment;Johannesburg;Houghton Estate;2;1;1;83 m²;Zareena Kara Properties;7900
2 Bedroom Apartment;Johannesburg;Waverley;1;2;2;98 m²;Silver Property Group;12500
1 Bedroom Apartment;Johannesburg;Johannesburg Central;2;1;2;138 m²;City Property;4450
2 Bedroom Apartment;Johannesburg;Dunkeld West;2;2;2;24 m²;Sotheby's International Realty - Craighall;35000
2 Bedroom Apartment;Johannesburg;Corlett Gardens;0.5;2;1;42 m²;We Trade Property;8000
0.5 Bedroom Apartment;Johannesburg;Melville;3;1;2;83 m²;RE/MAX Superior - Mulbarton;4500
3 Bedroom Apartment;Johannesburg;Mulbarton;1;2;1;135 m²;Allegiance Properties - Soma;19300
1 Bedroom Apartment;Johannesburg;Newlands;2;1;1;;Zareena Kara Properties;3850
2 Bedroom Apartment;Johannesburg;Ridgeway;2;2;1;;City Property;8500
